image_id,prompt,caption,canonical_objects
350679,<CAPTION>,A bride and groom cutting their wedding cake.,cake
387383,<CAPTION>,Three cats laying on a bed with a blue comforter.,"cat,bed"
325483,<CAPTION>,Two men playing a video game in a living room.,person
579321,<CAPTION>,A small dog wearing a shirt on a leash.,dog
72813,<CAPTION>,A dog laying on a bed with a blanket and pillows.,"dog,bed"
491090,<CAPTION>,A woman sitting on top of a black motorcycle.,"person,motorcycle"
87038,<CAPTION>,A skateboarder is doing a trick in a skate park.,
217957,<CAPTION>,A clock on the side of a building with statues on it.,clock
455301,<CAPTION>,A woman laying in bed next to a little girl.,"person,bed"
155179,<CAPTION>,A loaf of bread sitting on top of a white plate.,
111207,<CAPTION>,A man riding a skateboard on top of a piece of wood.,"person,skateboard"
546659,<CAPTION>,A black train traveling down train tracks next to tall buildings.,train
102644,<CAPTION>,A bathroom with a toilet and a bathtub.,toilet
514914,<CAPTION>,"A bathroom with a tub, sink, toilet and shower.","sink,toilet"
445999,<CAPTION>,A woman brushing her teeth in front of a mirror.,person
308328,<CAPTION>,A group of airport workers loading luggage onto a conveyor belt.,suitcase
84664,<CAPTION>,"A plate of food with eggs, potatoes, meat and a strawberry.",
189752,<CAPTION>,A person eating pizza and a salad at a restaurant.,"person,pizza"
236721,<CAPTION>,A tray of breakfast foods and drinks on a table.,
507037,<CAPTION>,A group of people standing outside of a building.,person
132587,<CAPTION>,A man sitting on a bench with a bottle of water.,"person,bench,bottle"
257865,<CAPTION>,A man holding a tennis racquet on a tennis court.,"person,tennis racket"
474344,<CAPTION>,A man holding a baseball bat on top of a field.,"person,baseball bat"
27982,<CAPTION>,A bathroom with a toilet and a sink.,"toilet,sink"
297698,<CAPTION>,A skier is in mid air over a building.,
272136,<CAPTION>,An old war plane is on display in a museum.,airplane
138639,<CAPTION>,A man riding a bike down a street next to tall buildings.,"person,bicycle"
474095,<CAPTION>,A man sitting on a toilet smoking a cigarette.,"person,toilet"
427077,<CAPTION>,An old picture of a baseball player holding a bat.,
346905,<CAPTION>,Two adult elephants and a baby elephant standing in front of a forest.,elephant
254016,<CAPTION>,Donuts are being made on a machine in a factory.,donut
209829,<CAPTION>,A man riding a wave on top of a surfboard.,"person,surfboard"
110211,<CAPTION>,A herd of zebra walking across a dry grass field.,zebra
297681,<CAPTION>,A car driving through a flooded street at night.,car
405205,<CAPTION>,A white and green bus parked in a parking lot.,bus
484296,<CAPTION>,A zebra standing next to a zebra laying on the ground.,zebra
369503,<CAPTION>,A woman standing in a kitchen next to a sink.,"person,sink"
279278,<CAPTION>,A group of people standing around a skateboard.,"person,skateboard"
363666,<CAPTION>,A group of people sitting at a table eating breakfast.,person
1675,<CAPTION>,A black and white cat laying on top of a laptop computer.,"cat,laptop"
450075,<CAPTION>,A woman is helping another woman tie her tie.,"person,tie"
89761,<CAPTION>,A white toilet sitting in front of a tree.,toilet
100274,<CAPTION>,A long train traveling down train tracks next to a parking lot.,train
415741,<CAPTION>,"A room with a bed, dresser, chair, and a table.","bed,chair"
475484,<CAPTION>,A yellow parking meter sitting on the side of a road.,parking meter
289702,<CAPTION>,A black dog sitting in front of a mirror.,dog
509719,<CAPTION>,A small bird standing on the ground next to a tree.,bird
211042,<CAPTION>,A cat standing in front of a toilet in a bathroom.,"cat,toilet"
375015,<CAPTION>,A small brown bear walking across a dirt field.,bear
353970,<CAPTION>,A gray cat sitting on top of a wooden chair.,"cat,chair"
210299,<CAPTION>,A young boy riding a bike in a parking lot.,"person,bicycle"
439623,<CAPTION>,A white fire hydrant sitting on the side of a road.,fire hydrant
